locus_tag	gene_name	gene_product	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
slr0476	slr0476	unknown protein	TU2753	BA000022.2-2613286-plus	168.68394642560938	4.1150639734080885	0.35191467695180806	11.693357063285013	1.3782872532929062e-31	6.076868499768423e-28
slr1841	slr1841	probable porin	TU971	BA000022.2-959937-plus	149.4320366144826	4.319521851268693	0.4039577555911512	10.693003888358351	1.0975747054485527e-26	2.4196034381613343e-23
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589112-minus	54.28146956022901	-6.207430065983978	0.5880016591622166	-10.556824065476805	4.723742547686351e-26	6.942326964249707e-23
slr1986	apcB	allophycocyanin beta subunit	TU1472	BA000022.2-1431349-plus	237.76359457421876	3.167788713422943	0.3023156801639583	10.478413530204321	1.0854933073118005e-25	1.196484997984432e-22
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589110-minus	68.2168437807103	-4.562290198913313	0.44575748838695045	-10.234915436693479	1.3831596369457589e-24	1.2196701678587702e-21
	NA	NA	TU2928	BA000022.2-2781050-plus	84.93659949290394	-4.806548650777005	0.47205834218439274	-10.18210721271291	2.383433211381226e-24	1.7514261714966376e-21
slr0374	slr0374	hypothetical protein	TU2462	BA000022.2-2376891-plus	89.23968354471671	-3.7982504869269396	0.3862933456133743	-9.832554793031454	8.152391830800803e-23	5.134842226000106e-20
	NA	NA	TU905	BA000022.2-900894-plus	215.12254799686548	-2.7452902999487816	0.2800107434644829	-9.804232030464929	1.0796511695707954e-22	5.950227508297046e-20
slr1841	slr1841	probable porin	TU971	BA000022.2-959940-plus	72.58960576321559	-3.1300535122331583	0.3712125853952494	-8.431970346319016	3.398931227116867e-17	1.6650986422620296e-14
slr0376	slr0376	hypothetical protein	TU2463	BA000022.2-2377240-plus	74.33315507924826	3.242623074013644	0.41467169501352014	7.819735740361831	5.293434251585521e-15	2.333875161524056e-12
sll0517	rbp1; rbpA	putative RNA binding protein	TU3343	BA000022.2-3181793-minus	153.6482861140661	-2.3540218298866176	0.3041005048580112	-7.74093364621589	9.868939629706368e-15	3.955650438852307e-12
slr1908	slr1908	probable porin	TU599	BA000022.2-612761-plus	31.6068013088663	-4.084683745575281	0.5362214955188913	-7.617530777319193	2.58574269269493e-14	9.500449610076623e-12
	NA	NA	TU87	BA000022.2-92762-plus	39.95140536979277	-3.418683315635226	0.45587448196169955	-7.499176749100091	6.421988465828434e-14	2.1780420881413512e-11
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589111-minus	325.2455344670764	-5.70588909476838	0.7785384697791534	-7.328975145424681	2.3191938834734206e-13	7.303804165881652e-11
ssr0692_5'UTR	ssr0692	5'UTR of hypothetical protein	TU2842	BA000022.2-2695591-plus	71.54762267547554	-2.505414603281416	0.37858650409079225	-6.617812775176397	3.645523165462049e-11	1.071540775768145e-8
slr1146,sml0011	NA	NA	TU807	BA000022.2-811014-minus	46.69717674503103	-2.5129026818766476	0.39489154851201175	-6.363526115829775	1.9717384886782002e-10	5.433371872863866e-8
sll1091	chlP	geranylgeranyl hydrogenase	TU2008	BA000022.2-1934543-minus	33.07015787927293	-2.912486060179517	0.49141534877837234	-5.926729939184386	3.09026565529062e-9	8.014694867162555e-7
NA	NA	NA	NA	BA000022.2-2377279-plus	31.51345565320684	-2.9657114284801507	0.5165775883805539	-5.741076452382525	9.407660345168267e-9	2.3043541367692715e-6
	NA	NA	TU2463	BA000022.2-2377076-plus	29.940315345413914	4.553165071985917	0.795508773828809	5.723588754491529	1.04297040498842e-8	2.4202402713652336e-6
6803t13_3'UTR	6803t13_3'UTR	tRNA	TU1364	BA000022.2-1329162-minus	29.22950581830607	-2.7325697978107315	0.4857032816715233	-5.626006454818939	1.844294475127331e-8	4.065747170418201e-6
ssr0692_5'UTR	ssr0692	5'UTR of hypothetical protein	TU2842	BA000022.2-2695590-plus	52.78344628006825	-2.1279951828726693	0.38336790822614114	-5.5507911257334746	2.843797023173358e-8	5.970619559605398e-6
sll0851	psbC	photosystem II CP43 protein	TU1386	BA000022.2-1347623-minus	29.248315479167054	-2.7566276134513172	0.5006173227036211	-5.506456705421108	3.661279520282723e-8	7.33753700223933e-6
	NA	NA	TU905	BA000022.2-900893-plus	21.79253018958358	-3.4263536645102883	0.627819754818469	-5.4575435675817525	4.827667191316693e-8	9.254428107180565e-6
sll0541	desC; des9	acyl-lipid desaturase (delta 9)	TU2970	BA000022.2-2822702-minus	24.346818857932732	4.27495657005025	0.7936572639065784	5.386401365506126	7.188234701082888e-8	1.3205386165447689e-5
slr0374	slr0374	hypothetical protein	TU2462	BA000022.2-2376979-plus	18.742522256460312	-3.7473833612950336	0.697911288061183	-5.369426495028285	7.898742212931747e-8	1.3930221766726431e-5
sll0517	rbp1; rbpA	putative RNA binding protein	TU3343	BA000022.2-3181815-minus	14.132370549140205	-4.011857712202545	0.7613898321377136	-5.2691243603013005	1.3707607669694973e-7	2.324493931372505e-5
slr1986	apcB	allophycocyanin beta subunit	TU1472	BA000022.2-1431350-plus	63.92632592563307	2.2682850957389156	0.4330316916507688	5.238150323575487	1.6219393172103274e-7	2.6485668331779013e-5
	NA	NA	TU2463	BA000022.2-2377049-plus	407.126145936151	1.6331973217636842	0.3147783125125959	5.188404845071185	2.1210309457688995e-7	3.339866228533957e-5
slr0374	slr0374	hypothetical protein	TU2462	BA000022.2-2376892-plus	10.795905813097487	-5.546971787683266	1.0721964111467386	-5.173466101934302	2.297908275054266e-7	3.493612960246296e-5
sll0541	desC; des9	acyl-lipid desaturase (delta 9)	TU2970	BA000022.2-2822709-minus	97.65144453136706	1.984503870689715	0.3843158126059123	5.163732028701817	2.420741814656969e-7	3.557683553607525e-5
slr0012	rbcS	ribulose bisphosphate carboxylase small subunit	TU2584	BA000022.2-2480555-plus	16.61357291339841	-3.1814289976773527	0.6199617454449645	-5.131653720656504	2.8720752331257845e-7	4.084832162210188e-5
sll1515	gifB	glutamine synthetase inactivating factor IF17	TU441	BA000022.2-458554-minus	21.4614106596329	-2.6606213756476778	0.5234257708324553	-5.083092052224006	3.713396224173712e-7	5.1163637351193426e-5
slr0011	rbcX	possible Rubisco chaperonin	TU2584	BA000022.2-2480081-plus	30.807209178777804	3.5341728848999554	0.6979441238977111	5.063690292516761	4.112175096727451e-7	5.4941151519610086e-5
sll1214	cycI; ycf59	hypothetical protein YCF59	TU8	BA000022.2-3201-minus	34.08791013752801	2.7253520855710933	0.5398093303077356	5.048730973244607	4.447545238735779e-7	5.767419693407662e-5
slr1146,sml0011	NA	NA	TU807	BA000022.2-811016-minus	148.64255948990217	-1.5946122054090486	0.3167143987557702	-5.034858571866545	4.78201757931418e-7	6.02397585919892e-5
	NA	NA	TU318	BA000022.2-320656-plus	13.668408209619502	-3.505258445122756	0.7100940063683143	-4.936330138948723	7.960630786955324e-7	9.521127663736671e-5
sll1578	cpcA	phycocyanin alpha subunit	TU716	BA000022.2-726644-minus	24.80799513725687	5.502372026749475	1.1148311816823153	4.935610088019087	7.990059504610043e-7	9.521127663736671e-5
